firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,career_opp,comp_benefits,senior_mgmt,recommend,headline,pros,cons
Apple,2026-01-01,Senior Software Engineer,"Current Employee, more than 3 years","Cupertino, CA",2,2,2,1,3,1,x,Review 1,Good brand name and smart colleagues.,Management is completely disconnected from what engineers actually do. Directors micromanage every decision and there is no trust.
Apple,2026-02-02,Senior Software Engineer,"Current Employee, less than 1 year","Cupertino, CA",3,1,2,1,1,1,v,Review 2,Good brand name and smart colleagues.,Senior leadership changes priorities every quarter. It is impossible to ship anything because strategy keeps shifting.
Apple,2026-03-03,Software Engineer,"Current Employee, less than 1 year","Cupertino, CA",2,3,2,2,3,2,o,Review 3,Good brand name and smart colleagues.,My manager takes credit for the team's work in every review cycle. Feedback is never constructive.
Apple,2026-01-04,Software Engineer,"Current Employee, more than 1 year","Cupertino, CA",3,2,3,1,1,2,x,Review 4,Good brand name and smart colleagues.,Too many layers of management. Getting a simple decision approved takes weeks and multiple escalations.
Apple,2026-02-05,Senior Software Engineer,"Former Employee, more than 5 years","Cupertino, CA",1,2,3,2,2,1,x,Review 5,Good brand name and smart colleagues.,Leadership is toxic. Managers yell in meetings and nobody in HR seems to care.
Apple,2026-03-06,Technical Program Manager,"Current Employee, less than 1 year","Cupertino, CA",1,3,2,2,2,2,v,Review 6,Good brand name and smart colleagues.,Management promotes based on politics not performance. If you are not in the right clique you will not advance.
Apple,2026-01-07,UX Designer,"Current Employee, less than 1 year","Cupertino, CA",2,1,2,2,1,2,x,Review 7,Good brand name and smart colleagues.,Directors have no technical background yet override every engineering decision. Very frustrating.
Apple,2026-02-08,Data Scientist,"Current Employee, more than 3 years","Cupertino, CA",3,2,3,2,2,1,x,Review 8,Good brand name and smart colleagues.,Pay is way below market for the Bay Area. I got a 2% raise after a strong performance review which is insulting.
Apple,2026-03-09,UX Designer,"Current Employee, more than 1 year","Cupertino, CA",2,1,3,2,1,2,x,Review 9,Good brand name and smart colleagues.,Compensation has not kept up with inflation. Colleagues at competitors earn 40% more for the same role.
Apple,2026-01-10,Data Scientist,"Current Employee, more than 1 year","Cupertino, CA",3,3,3,2,3,2,x,Review 10,Good brand name and smart colleagues.,Equity refreshes are tiny compared to what is offered at other big tech companies.
Apple,2026-02-11,UX Designer,"Current Employee, more than 3 years","Cupertino, CA",2,1,3,2,2,1,x,Review 11,Good brand name and smart colleagues.,Bonuses are discretionary and almost always below target. The total comp story they tell during recruiting is misleading.
Apple,2026-03-12,UX Designer,"Current Employee, more than 1 year","Cupertino, CA",3,3,3,2,1,2,x,Review 12,Good brand name and smart colleagues.,No salary bands are disclosed. You only find out you are underpaid when a new hire gets more than you.
Apple,2026-01-13,Data Scientist,"Current Employee, less than 1 year","Cupertino, CA",2,3,3,2,2,1,x,Review 13,Good brand name and smart colleagues.,Benefits have been cut three years in a row. Health insurance coverage is now worse than most competitors.
Apple,2026-02-14,Technical Program Manager,"Current Employee, more than 3 years","Cupertino, CA",1,1,2,2,1,2,o,Review 14,Good brand name and smart colleagues.,Constant on-call rotations with no compensation or time off in lieu. Burnout is a real problem here.
Apple,2026-03-15,Senior Software Engineer,"Former Employee, more than 5 years","Cupertino, CA",3,3,3,2,3,1,x,Review 15,Good brand name and smart colleagues.,Expected to be available on weekends and evenings. Work-life balance is a myth at this company.
Apple,2026-01-16,Senior Software Engineer,"Current Employee, less than 1 year","Cupertino, CA",2,2,2,2,2,1,o,Review 16,Good brand name and smart colleagues.,Headcount keeps shrinking but the work keeps growing. The team is stretched way too thin.
Apple,2026-02-17,Software Engineer,"Former Employee, more than 2 years","Cupertino, CA",2,1,3,2,3,2,v,Review 17,Good brand name and smart colleagues.,The culture glorifies overwork. If you leave at 6pm people assume you are not committed.
Apple,2026-03-18,Data Scientist,"Current Employee, more than 1 year","Cupertino, CA",2,2,3,2,1,2,x,Review 18,Good brand name and smart colleagues.,Product deadlines are always unrealistic. Crunch mode is the default not the exception.
Apple,2026-01-19,Technical Program Manager,"Current Employee, more than 3 years","Cupertino, CA",1,2,3,1,1,1,v,Review 19,Good brand name and smart colleagues.,No real PTO culture. People are pressured to stay connected even when officially on vacation.
Apple,2026-02-20,Senior Software Engineer,"Current Employee, more than 3 years","Cupertino, CA",3,1,3,1,1,2,o,Review 20,Good brand name and smart colleagues.,Meetings all day with no heads-down focus time. Impossible to actually get work done during business hours.
Apple,2026-03-21,Product Manager,"Former Employee, more than 2 years","Cupertino, CA",3,2,3,2,3,1,x,Review 21,Good brand name and smart colleagues.,Promotion criteria are never clearly explained. I have been at the same level for three years with no path forward.
Apple,2026-01-22,Engineering Manager,"Former Employee, more than 5 years","Cupertino, CA",2,3,3,2,1,1,x,Review 22,Good brand name and smart colleagues.,There is no internal mobility program. If you want a new role you basically have to re-interview from scratch.
Apple,2026-02-23,Senior Software Engineer,"Former Employee, more than 2 years","Cupertino, CA",1,2,3,1,1,1,x,Review 23,Good brand name and smart colleagues.,Training budget is practically zero. You are expected to grow on your own time and own dime.
Apple,2026-03-24,Software Engineer,"Current Employee, more than 1 year","Cupertino, CA",1,1,3,1,3,1,x,Review 24,Good brand name and smart colleagues.,The org is very flat at senior levels so there is a ceiling you hit very quickly.
Apple,2026-01-25,Technical Program Manager,"Current Employee, more than 1 year","Cupertino, CA",2,3,2,2,2,1,x,Review 25,Good brand name and smart colleagues.,Performance reviews are a black box. You never know how you are actually being assessed.
Apple,2026-02-26,Senior Software Engineer,"Former Employee, more than 5 years","Cupertino, CA",2,3,3,2,3,1,x,Review 26,Good brand name and smart colleagues.,Career ladder documentation is outdated and managers interpret it differently. There is no consistency.
