employee_id,manager_id,role_name,current_salary,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,HourlyRate,JobInvolvement,JobLevel,JobRole,MaritalStatus,MonthlyRate,NumCompaniesWorked,Over18,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Market_Median_2026,Internal_Salary_Rank,Performance_Consistency
EMP0001,EXEC,Engineering_Manager_Austin,147000,2,278,1,19,3,1,57,2,4,3,2,25556,8,1,17,3,1,18,6,7,3,2,190000,0.47,4
EMP0002,EXEC,Sales_Manager_NYC,181000,2,789,2,4,2,1,74,3,4,3,2,19665,1,1,25,3,1,22,6,8,2,3,165000,0.17,3
EMP0003,EXEC,Research_Manager_Denver,181000,2,878,1,9,3,5,50,3,4,3,2,25091,1,1,20,3,1,5,1,0,0,0,175000,0.93,2
EMP0004,EXEC,Product_Manager_Atlanta,163000,1,165,1,26,3,1,57,4,5,3,1,18452,6,1,25,4,1,36,2,7,5,0,180000,0.46,2
EMP0005,EXEC,Operations_Manager_Boston,181000,1,286,1,25,1,1,50,3,5,3,2,14702,6,1,20,4,1,28,4,28,12,5,160000,0.65,4
EMP0006,EXEC,Engineering_Manager_Seattle,211000,1,990,1,6,3,6,63,4,4,3,1,5580,4,1,24,3,1,8,1,8,4,5,192000,1.0,3
EMP0007,EXEC,Sales_Manager_NYC,173000,2,729,2,8,1,5,40,1,5,3,2,19549,2,1,13,3,3,34,1,29,0,9,168000,0.48,3
EMP0008,EXEC,Research_Manager_Atlanta,215000,1,1475,1,21,3,5,87,2,4,3,0,2783,9,1,19,3,0,35,0,24,6,11,178000,0.54,3
EMP0009,EXEC,Product_Manager_Seattle,162000,1,370,1,24,5,3,90,2,5,3,2,8333,1,1,12,3,0,3,3,2,0,2,182000,0.52,3
EMP0010,EXEC,Operations_Manager_Seattle,178000,2,323,1,8,2,3,47,3,5,3,1,4564,7,1,23,4,1,7,0,0,0,0,162000,0.83,3
EMP0011,EMP0010,HR_Coordinator_Seattle,79000,2,437,3,13,1,4,88,2,2,1,0,11816,3,1,11,3,1,16,5,5,3,3,65000,0.06,3
EMP0012,EMP0010,HR_Business_Partner_Miami,108000,0,480,3,3,3,6,60,3,3,1,2,3396,9,1,12,3,1,34,4,5,0,4,105000,0.55,3
EMP0013,EMP0010,HR_Specialist_Chicago,86000,1,248,3,1,3,6,42,1,2,1,1,6434,5,1,25,3,0,21,2,7,4,6,80000,0.72,2
EMP0014,EMP0010,HR_Coordinator_Boston,66000,2,375,3,9,2,2,100,2,2,1,2,25608,5,1,14,3,2,34,4,0,0,0,65000,0.73,3
EMP0015,EMP0010,HR_Business_Partner_Austin,115000,1,1004,3,18,4,6,44,1,3,1,2,14192,9,1,19,3,0,18,2,1,0,1,105000,0.54,3
EMP0016,EMP0010,HR_Business_Partner_Denver,92000,2,416,3,8,4,6,52,4,3,1,0,12979,6,1,23,3,1,16,1,3,2,3,105000,0.19,3
EMP0017,EMP0010,HR_Coordinator_Austin,58000,1,566,3,8,1,2,72,2,1,1,2,11240,5,1,21,3,1,3,6,3,1,1,65000,0.6,3
EMP0018,EMP0010,HR_Business_Partner_Austin,128000,0,1321,3,14,3,6,85,3,3,1,1,20987,3,1,15,3,1,17,4,5,4,2,105000,0.28,4
EMP0019,EMP0010,HR_Coordinator_Chicago,58000,1,715,3,17,3,4,81,3,1,1,1,23882,6,1,21,3,0,5,4,5,2,4,65000,0.33,3
EMP0020,EMP0010,HR_Coordinator_Seattle,56000,1,759,3,15,3,6,95,3,1,1,2,11393,8,1,21,3,0,14,6,6,6,4,65000,0.89,4
EMP0021,EMP0001,Laboratory_Technician_Atlanta,77000,2,1160,1,15,1,1,45,3,2,2,2,20408,9,1,16,4,2,16,4,4,0,0,75000,0.53,4
EMP0022,EMP0001,Business_Analyst_Atlanta,125000,1,1072,1,15,2,1,65,3,3,2,2,11092,7,1,12,3,0,36,2,14,14,2,105000,0.35,3
EMP0023,EMP0001,Business_Analyst_Austin,86000,1,1211,1,15,3,1,83,3,2,2,2,20958,6,1,18,3,0,15,6,12,11,2,105000,0.48,3
EMP0024,EMP0001,Healthcare_Representative_Chicago,87000,1,1469,1,22,4,5,89,4,1,0,2,21489,9,1,21,3,1,18,1,13,7,0,85000,0.42,4
EMP0025,EMP0001,Research_Scientist_Seattle,103000,1,963,1,9,4,3,99,1,2,5,1,4342,0,1,23,3,0,21,6,6,3,2,120000,0.26,1
EMP0026,EMP0001,Research_Scientist_Chicago,94000,2,443,1,20,3,5,44,3,1,5,2,5636,9,1,11,4,1,8,3,3,3,2,120000,0.89,3
EMP0027,EMP0001,Laboratory_Technician_Austin,82000,0,1191,1,14,4,1,73,1,2,2,2,5552,6,1,16,3,2,16,5,3,2,0,75000,0.58,2
EMP0028,EMP0001,Research_Scientist_Boston,128000,1,1313,1,9,3,1,41,2,2,5,1,17321,9,1,20,3,0,35,3,24,15,7,120000,0.23,4
EMP0029,EMP0001,Research_Scientist_Miami,100000,0,491,1,3,2,2,60,3,3,5,2,16779,0,1,12,3,1,17,1,10,4,9,120000,0.45,3
EMP0030,EMP0001,Sales_Representative_Miami,73000,1,1029,2,9,3,2,54,2,1,8,1,26296,7,1,15,3,3,23,4,13,11,8,70000,0.33,3
EMP0031,EMP0001,Data_Scientist_Chicago,142000,0,211,1,18,3,5,92,2,2,6,2,17475,7,1,18,3,3,24,2,5,2,0,170000,0.47,4
EMP0032,EMP0001,Manufacturing_Director_Austin,153000,1,209,1,5,2,3,68,1,3,4,0,15731,9,1,20,3,0,26,4,15,2,9,130000,0.39,3
EMP0033,EMP0001,Manufacturing_Director_Boston,155000,0,525,1,21,2,4,50,2,3,4,0,15480,7,1,22,3,0,28,1,9,9,9,130000,1.0,3
EMP0034,EMP0001,Sales_Executive_Miami,80000,1,560,2,21,2,2,48,1,2,7,2,21592,9,1,25,3,0,15,5,8,3,6,110000,0.71,3
EMP0035,EMP0001,Healthcare_Representative_Boston,88000,1,612,1,1,2,6,32,4,2,0,2,26875,2,1,18,3,1,32,2,14,1,9,85000,0.73,2
EMP0036,EMP0001,Healthcare_Representative_Miami,113000,1,314,1,28,2,2,93,2,2,0,2,20119,0,1,18,3,0,31,0,11,6,5,85000,0.56,4
EMP0037,EMP0001,Healthcare_Representative_Seattle,96000,2,1380,1,15,4,1,100,2,2,0,1,24974,7,1,12,3,1,35,6,14,6,0,85000,0.58,2
EMP0038,EMP0001,Research_Scientist_Boston,124000,2,332,1,15,5,4,49,3,3,5,1,25208,4,1,17,3,3,36,1,13,1,3,120000,0.69,3
EMP0039,EMP0001,Research_Scientist_Atlanta,98000,2,796,1,26,3,5,66,3,3,5,2,23718,7,1,24,3,1,33,2,23,4,13,120000,0.84,3
EMP0040,EMP0001,Business_Analyst_Atlanta,104000,1,578,1,28,4,1,90,3,3,2,1,23841,2,1,18,4,0,21,4,6,5,1,105000,0.66,3
EMP0041,EMP0001,Data_Scientist_Miami,124000,0,642,1,11,4,2,40,4,4,6,2,14546,5,1,21,3,2,30,6,0,0,0,170000,0.9,3
EMP0042,EMP0001,Data_Scientist_Chicago,172000,2,1397,1,23,4,2,68,4,2,6,1,3932,4,1,16,3,0,19,4,7,1,6,170000,0.08,3
EMP0043,EMP0001,Research_Scientist_NYC,97000,1,620,1,15,2,1,89,4,3,5,2,4514,7,1,16,4,0,25,3,19,7,7,120000,0.6,3
EMP0044,EMP0001,Manufacturing_Director_Boston,109000,1,835,1,19,3,4,32,4,4,4,1,20638,0,1,25,3,1,25,2,15,3,3,130000,0.44,3
EMP0045,EMP0001,Laboratory_Technician_Denver,65000,1,732,1,26,3,3,46,1,2,2,1,15709,2,1,14,3,1,13,2,9,4,2,75000,0.17,3
EMP0046,EMP0001,Sales_Executive_NYC,93000,2,335,2,15,5,1,58,4,3,7,2,20356,5,1,12,3,0,31,4,30,9,11,110000,0.16,2
EMP0047,EMP0001,Sales_Representative_Boston,75000,1,1349,2,8,4,4,89,4,2,8,2,5917,2,1,11,4,0,24,3,3,1,3,70000,0.95,2
EMP0048,EMP0001,Laboratory_Technician_NYC,72000,1,416,1,29,3,1,92,3,2,2,0,14235,3,1,18,3,0,24,2,21,13,9,75000,0.57,2
EMP0049,EMP0001,Sales_Representative_Denver,53000,1,1409,2,20,5,1,72,2,1,8,2,8818,1,1,24,3,0,18,1,6,0,6,70000,0.54,4
EMP0050,EMP0001,Laboratory_Technician_Denver,90000,1,457,1,4,4,1,31,3,1,2,2,2611,2,1,15,3,1,1,4,1,0,0,75000,0.41,2
EMP0051,EMP0001,Data_Scientist_Miami,155000,0,1449,1,17,3,4,33,1,3,6,2,16062,1,1,18,3,1,24,0,16,3,7,170000,0.0,3
